Name,age,Height in cm,Credit Card Debt
Winifred Nichols,46,196,1191.6127497767
Nevada Nieves,54,156,1050.3766518026
Kylan Grant,46,196,1093.5973941509
Katelyn Burch,34,198,1042.9105195191
Iona England,29,198,954.2308484644
Shaine Jensen,35,173,1008.4482550281
Regan Whitfield,22,178,1240.8306107191
Lacota Mcneil,21,165,1080.5632883111
Stacey Floyd,38,156,947.0929129143
Grace Sherman,31,206,870.8217900804
Ayanna Floyd,65,162,995.1264614819
Erica Mcclure,31,194,1222.6602554747
Alexis Gay,52,188,1089.3537030911
Pandora Gutierrez,31,200,1008.6468993763
Anne Bullock,62,175,753.9103320096
Karleigh Hubbard,44,165,1070.3741762179
Ariel Green,59,198,860.1970779334
Basia Burns,46,185,1198.1678643759
Casey Soto,47,191,929.8622667187
Daphne Saunders,30,206,844.9115887634
Autumn Mathis,46,198,1062.0152641085
Ruth Sargent,53,151,880.1378222813
Justine Dalton,21,180,917.9894020389
Kaitlin Pratt,35,202,1041.3278473063
Gwendolyn Barton,23,198,1311.079894903
Melissa Pratt,59,179,1058.1310589573
Quail Travis,45,208,859.8090343174
Kimberley Ross,49,155,1062.3272422387
Jenette Callahan,58,191,1241.4683378424
Taylor Pate,65,187,1032.2765569339
Deanna Zamora,64,175,931.5178825476
Grace Abbott,28,197,728.9778729317
Ima Browning,37,183,920.2027065487
Hyacinth Goodwin,34,185,872.126796763
Xerxes Vaughan,28,189,979.639915034
Jordan Wagner,29,191,1030.3255083826
Samantha Reilly,58,193,1221.4128655581
Xerxes Montoya,39,186,781.270150219
Tasha Perry,28,159,1144.2115375168
Blythe Salinas,57,198,1073.7698504155
Yetta Payne,43,162,1241.5282834675
Roanna Reynolds,55,150,1075.5028720958
Erica Potter,56,169,1143.4278506689
Ebony Stanley,38,201,1131.5249704581
Patricia Bradley,36,163,842.9952786574
Beatrice Park,19,202,941.9672374268
Joy Martin,33,197,1108.0106353716
Mercedes Roman,48,205,1065.4585357569
Bertha Mcleod,61,173,1055.0534591033
Christen Fox,51,210,1035.1719258048
Debra Travis,25,204,926.0873440618
Amethyst Clark,41,151,977.3498507214
Geraldine Contreras,62,206,828.7298067437
Jescie Giles,26,165,957.7495207215
Mechelle Castillo,55,152,978.3072164812
Quynn Olsen,35,194,1149.9573457459
Dawn Bryant,31,186,966.8994607152
Hedy Mann,46,183,1124.171515427
Rhiannon Whitfield,29,183,1099.8906406067
Maxine Bass,65,165,891.6149820762
Amy Spears,47,171,875.4458364199
Heather Spears,30,179,1029.4680357547
Virginia Herman,24,205,776.8670881067
Anjolie Vazquez,43,201,1153.7130456253
Hanna Mckenzie,22,205,1176.1217631984
Marcia Rhodes,40,153,1077.3084450231
Virginia Collins,60,190,954.708466767
Anika Rice,47,172,933.8972702354
Brenna Sullivan,51,157,981.4207692955
Kyla Weber,43,155,1103.7959235017
Yoshi Boone,28,183,1259.7651335367
Ori Jacobs,39,180,1055.1020754143
Daria Cervantes,22,205,1051.4238562808
Halla Allison,57,174,924.2734540207
Cecilia Velasquez,50,191,922.6661251608
Amity Skinner,52,188,906.8535691309
Gay Short,21,150,1180.9462774591
Hanna Reilly,42,195,935.1879399282
Freya Carey,55,151,751.628089065
Alyssa Martinez,54,160,1049.6299269594
Anika Humphrey,43,160,889.6604206049
Clio Savage,20,201,803.4188457426
Anne Hunter,53,167,1100.3198319505
Kai Meyers,59,190,1044.6375250675
Dakota Nixon,64,206,888.9876862334
Christine Dennis,29,210,1073.5100737349
Regan Benjamin,51,165,1243.3837826056
Blythe Williams,33,193,1057.2426012687
Neve Nielsen,52,199,1060.1513780332
Megan Acevedo,21,179,950.4782130318
Yeo Patrick,45,163,880.6979775481
Kalia Nichols,54,192,1051.2495169559
Shelby Knowles,42,183,854.8903281663
Bo Sanford,54,210,894.2901018275
Faith Obrien,40,194,929.7867014567
Ursa Barr,40,153,920.60148692
Gail Cash,54,181,999.887280966
Kaitlin Knapp,44,187,834.6552412772
Amanda Suarez,46,200,1013.811802773
Cleo Short,42,158,1138.5230166753
